Week,Category,Sub_Category,Metric,Text_Value,Country,Month,Product,Support,Confidence,Lift,Leverage,Conviction,Revenue,Quantity,Num_Transactions,Segment,Num_Customers,Avg_Spend,Priority,Expected_Impact,Recommendation
Week 4 - Insights,Top Products,PANTRY SCRUBBING BRUSH,3523.31,,,,PANTRY SCRUBBING BRUSH,,,,,,3523.31,2117,278,,,,,,
Week 4 - Insights,Top Products,BAG 125g SWIRLY MARBLES,3518.81,,,,BAG 125g SWIRLY MARBLES,,,,,,3518.81,9366,292,,,,,,
Week 4 - Insights,Top Products,GLASS  BEURRE DISH,3517.82,,,,GLASS  BEURRE DISH,,,,,,3517.82,826,204,,,,,,
Week 4 - Insights,Top Products,SET OF 16 VINTAGE PISTACHIO CUTLERY,3509.49,,,,SET OF 16 VINTAGE PISTACHIO CUTLERY,,,,,,3509.49,311,101,,,,,,
Week 4 - Insights,Top Products,BATHROOM METAL SIGN,3505.2,,,,BATHROOM METAL SIGN,,,,,,3505.2,5510,663,,,,,,
Week 4 - Insights,Top Products,ROTATING LEAVES T-LIGHT HOLDER,3496.33,,,,ROTATING LEAVES T-LIGHT HOLDER,,,,,,3496.33,1868,308,,,,,,
Week 4 - Insights,Top Products,CHARLIE AND LOLA FIGURES TINS,3493.59,,,,CHARLIE AND LOLA FIGURES TINS,,,,,,3493.59,1475,210,,,,,,
Week 4 - Insights,Top Products,CLASSIC CHROME BICYCLE BELL,3491.62,,,,CLASSIC CHROME BICYCLE BELL,,,,,,3491.62,2438,188,,,,,,
Week 4 - Insights,Top Products,RED BABY BUNTING,3482.3,,,,RED BABY BUNTING,,,,,,3482.3,1102,228,,,,,,
Week 4 - Insights,Top Products,VINTAGE PAISLEY STATIONERY SET,3480.72,,,,VINTAGE PAISLEY STATIONERY SET,,,,,,3480.72,1877,434,,,,,,
Week 4 - Insights,Top Products,ANTIQUE SILVER BAUBLE LAMP,3479.23,,,,ANTIQUE SILVER BAUBLE LAMP,,,,,,3479.23,366,75,,,,,,
Week 4 - Insights,Top Products,STRAWBERRY SHOPPER BAG,3471.98,,,,STRAWBERRY SHOPPER BAG,,,,,,3471.98,2783,407,,,,,,
Week 4 - Insights,Top Products,TEA BAG PLATE RED RETROSPOT,3471.09,,,,TEA BAG PLATE RED RETROSPOT,,,,,,3471.09,3952,349,,,,,,
Week 4 - Insights,Top Products,RED RETROSPOT SUGAR JAM BOWL,3463.17,,,,RED RETROSPOT SUGAR JAM BOWL,,,,,,3463.17,1428,233,,,,,,
Week 4 - Insights,Top Products,RED RETROSPOT CUP,3461.24,,,,RED RETROSPOT CUP,,,,,,3461.24,3937,384,,,,,,
Week 4 - Insights,Top Products,PARISIENNE SEWING BOX,3456.04,,,,PARISIENNE SEWING BOX,,,,,,3456.04,280,124,,,,,,
Week 4 - Insights,Top Products,6 GIFT TAGS VINTAGE CHRISTMAS,3450.29,,,,6 GIFT TAGS VINTAGE CHRISTMAS,,,,,,3450.29,3935,322,,,,,,
Week 4 - Insights,Top Products,CAMOUFLAGE DESIGN TEDDY,3448.05,,,,CAMOUFLAGE DESIGN TEDDY,,,,,,3448.05,1631,36,,,,,,
Week 4 - Insights,Top Products,GAOLERS KEYS DECORATIVE GARDEN,3445.73,,,,GAOLERS KEYS DECORATIVE GARDEN,,,,,,3445.73,927,212,,,,,,
Week 4 - Insights,Top Products,IVORY WICKER HEART LARGE,3443.71,,,,IVORY WICKER HEART LARGE,,,,,,3443.71,1999,282,,,,,,
Week 4 - Insights,Top Products,MIRRORED DISCO BALL,3435.05,,,,MIRRORED DISCO BALL,,,,,,3435.05,649,134,,,,,,
Week 4 - Insights,Top Products,VINTAGE BLUE KITCHEN CABINET,3435,,,,VINTAGE BLUE KITCHEN CABINET,,,,,,3435,24,18,,,,,,
Week 4 - Insights,Top Products,PINK  POLKADOT PLATE,3422.56,,,,PINK  POLKADOT PLATE,,,,,,3422.56,2049,183,,,,,,
Week 4 - Insights,Top Products,IVORY HANGING DECORATION  HEART,3422.05,,,,IVORY HANGING DECORATION  HEART,,,,,,3422.05,3859,316,,,,,,
Week 4 - Insights,Top Products,GLASS APOTHECARY BOTTLE ELIXIR,3419.58,,,,GLASS APOTHECARY BOTTLE ELIXIR,,,,,,3419.58,856,209,,,,,,
Week 4 - Insights,Top Products,GIRLS VINTAGE TIN SEASIDE BUCKET,3419.57,,,,GIRLS VINTAGE TIN SEASIDE BUCKET,,,,,,3419.57,1290,229,,,,,,
Week 4 - Insights,Top Products,"TRAY, BREAKFAST IN BED",3415.36,,,,"TRAY, BREAKFAST IN BED",,,,,,3415.36,269,77,,,,,,
Week 4 - Insights,Top Products,WOODLAND MINI BACKPACK,3411.34,,,,WOODLAND MINI BACKPACK,,,,,,3411.34,816,152,,,,,,
Week 4 - Insights,Top Products,BUNDLE OF 3 RETRO NOTE BOOKS,3411.09,,,,BUNDLE OF 3 RETRO NOTE BOOKS,,,,,,3411.09,2069,270,,,,,,
Week 4 - Insights,Top Products,RIBBON REEL CHRISTMAS SOCK BAUBLE,3408.47,,,,RIBBON REEL CHRISTMAS SOCK BAUBLE,,,,,,3408.47,1728,310,,,,,,
Week 4 - Insights,Top Products,DOORMAT PEACE ON EARTH BLUE,3403.26,,,,DOORMAT PEACE ON EARTH BLUE,,,,,,3403.26,689,28,,,,,,
Week 4 - Insights,Top Products,ZINC HERB GARDEN CONTAINER,3397.89,,,,ZINC HERB GARDEN CONTAINER,,,,,,3397.89,537,199,,,,,,
Week 4 - Insights,Top Products,SET OF 5 MINI GROCERY MAGNETS,3396.25,,,,SET OF 5 MINI GROCERY MAGNETS,,,,,,3396.25,1652,203,,,,,,
Week 4 - Insights,Top Products,COFFEE MUG DOG + BALL DESIGN,3393.91,,,,COFFEE MUG DOG + BALL DESIGN,,,,,,3393.91,1522,195,,,,,,
Week 4 - Insights,Top Products,SET OF 36 PAISLEY FLOWER DOILIES,3389,,,,SET OF 36 PAISLEY FLOWER DOILIES,,,,,,3389,2111,352,,,,,,
Week 4 - Insights,Top Products,CHRISTMAS PUDDING TRINKET POT,3388.69,,,,CHRISTMAS PUDDING TRINKET POT,,,,,,3388.69,6573,237,,,,,,
Week 4 - Insights,Top Products,FANCY FONTS BIRTHDAY WRAP,3388,,,,FANCY FONTS BIRTHDAY WRAP,,,,,,3388,8500,228,,,,,,
Week 4 - Insights,Top Products,RETROSPOT GIANT TUBE MATCHES,3381.3,,,,RETROSPOT GIANT TUBE MATCHES,,,,,,3381.3,1470,130,,,,,,
Week 4 - Insights,Top Products,ROLL WRAP VINTAGE SPOT,3370.08,,,,ROLL WRAP VINTAGE SPOT,,,,,,3370.08,2652,301,,,,,,
Week 4 - Insights,Top Products,SET OF 12 FORK CANDLES,3368.79,,,,SET OF 12 FORK CANDLES,,,,,,3368.79,1201,135,,,,,,
Week 4 - Insights,Top Products,SPACEBOY BIRTHDAY CARD,3367.41,,,,SPACEBOY BIRTHDAY CARD,,,,,,3367.41,8113,523,,,,,,
Week 4 - Insights,Top Products,PACK 3 BOXES CHRISTMAS PANNETONE,3359.82,,,,PACK 3 BOXES CHRISTMAS PANNETONE,,,,,,3359.82,1649,161,,,,,,
Week 4 - Insights,Top Products,6 GIFT TAGS 50'S CHRISTMAS,3359.68,,,,6 GIFT TAGS 50'S CHRISTMAS,,,,,,3359.68,3656,316,,,,,,
Week 4 - Insights,Top Products,METAL SIGN DROP YOUR PANTS,3357.73,,,,METAL SIGN DROP YOUR PANTS,,,,,,3357.73,1245,202,,,,,,
Week 4 - Insights,Top Products,SET OF 9 HEART SHAPED BALLOONS,3354.25,,,,SET OF 9 HEART SHAPED BALLOONS,,,,,,3354.25,2684,260,,,,,,
Week 4 - Insights,Top Products,VINTAGE  2 METRE FOLDING RULER,3349.3,,,,VINTAGE  2 METRE FOLDING RULER,,,,,,3349.3,1612,150,,,,,,
Week 4 - Insights,Top Products,BABUSHKA LIGHTS STRING OF 10,3347.57,,,,BABUSHKA LIGHTS STRING OF 10,,,,,,3347.57,469,152,,,,,,
Week 4 - Insights,Top Products,BUTTON BOX,3347.3,,,,BUTTON BOX,,,,,,3347.3,1860,248,,,,,,
Week 4 - Insights,Top Products,"DIAMANTE HEART SHAPED WALL MIRROR,",3328.2,,,,"DIAMANTE HEART SHAPED WALL MIRROR,",,,,,,3328.2,415,146,,,,,,
Week 4 - Insights,Top Products,FELTCRAFT GIRL NICOLE KIT,3318.15,,,,FELTCRAFT GIRL NICOLE KIT,,,,,,3318.15,645,177,,,,,,
Week 4 - Insights,Top Products,HAPPY STENCIL CRAFT,3316.93,,,,HAPPY STENCIL CRAFT,,,,,,3316.93,2798,279,,,,,,
Week 4 - Insights,Top Products,FRENCH ENAMEL CANDLEHOLDER,3309.29,,,,FRENCH ENAMEL CANDLEHOLDER,,,,,,3309.29,1531,296,,,,,,
Week 4 - Insights,Top Products,WATERING CAN PINK BUNNY,3307.72,,,,WATERING CAN PINK BUNNY,,,,,,3307.72,1698,274,,,,,,
Week 4 - Insights,Top Products,RETRO COFFEE MUGS ASSORTED,3304.77,,,,RETRO COFFEE MUGS ASSORTED,,,,,,3304.77,2063,158,,,,,,
Week 4 - Insights,Top Products,SET 3 WICKER STORAGE BASKETS,3300.15,,,,SET 3 WICKER STORAGE BASKETS,,,,,,3300.15,237,72,,,,,,
Week 4 - Insights,Top Products,MOROCCAN TEA GLASS,3296.14,,,,MOROCCAN TEA GLASS,,,,,,3296.14,4090,120,,,,,,
Week 4 - Insights,Top Products,SET OF 4 KNICK KNACK TINS POPPIES,3295.74,,,,SET OF 4 KNICK KNACK TINS POPPIES,,,,,,3295.74,828,175,,,,,,
Week 4 - Insights,Top Products,STORAGE TIN VINTAGE DOILY,3294.2,,,,STORAGE TIN VINTAGE DOILY,,,,,,3294.2,1110,185,,,,,,
Week 4 - Insights,Top Products,SWEETHEART 3 TIER CAKE STAND,3291.98,,,,SWEETHEART 3 TIER CAKE STAND,,,,,,3291.98,276,154,,,,,,
Week 4 - Insights,Top Products,DOORMAT CHRISTMAS VILLAGE,3290.02,,,,DOORMAT CHRISTMAS VILLAGE,,,,,,3290.02,582,50,,,,,,
Week 4 - Insights,Top Products,TEA TIME KITCHEN APRON,3289.55,,,,TEA TIME KITCHEN APRON,,,,,,3289.55,581,130,,,,,,
Week 4 - Insights,Top Products,RED GINGHAM ROSE JEWELLERY BOX,3281.95,,,,RED GINGHAM ROSE JEWELLERY BOX,,,,,,3281.95,1684,280,,,,,,
Week 4 - Insights,Top Products,FLORAL FOLK STATIONERY SET,3280.84,,,,FLORAL FOLK STATIONERY SET,,,,,,3280.84,1877,420,,,,,,
Week 4 - Insights,Top Products,PACK OF 20 NAPKINS RED APPLES,3273.06,,,,PACK OF 20 NAPKINS RED APPLES,,,,,,3273.06,3960,366,,,,,,
Week 4 - Insights,Top Products,CHARLIE+LOLA PINK HOT WATER BOTTLE,3261.08,,,,CHARLIE+LOLA PINK HOT WATER BOTTLE,,,,,,3261.08,961,310,,,,,,
Week 4 - Insights,Top Products,WHITE ROCKING HORSE HAND PAINTED,3251.77,,,,WHITE ROCKING HORSE HAND PAINTED,,,,,,3251.77,2585,186,,,,,,
Week 4 - Insights,Top Products,FINE WICKER HEART,3235.85,,,,FINE WICKER HEART,,,,,,3235.85,2582,235,,,,,,
Week 4 - Insights,Top Products,SET OF 6 SNACK LOAF BAKING CASES,3231.73,,,,SET OF 6 SNACK LOAF BAKING CASES,,,,,,3231.73,3888,341,,,,,,
Week 4 - Insights,Top Products,RETROSPOT LAMP,3230.49,,,,RETROSPOT LAMP,,,,,,3230.49,299,148,,,,,,
Week 4 - Insights,Top Products,3 HOOK HANGER MAGIC GARDEN,3229.41,,,,3 HOOK HANGER MAGIC GARDEN,,,,,,3229.41,1679,157,,,,,,
Week 4 - Insights,Top Products,DRAWER KNOB CRACKLE GLAZE IVORY,3227.88,,,,DRAWER KNOB CRACKLE GLAZE IVORY,,,,,,3227.88,1908,187,,,,,,
Week 4 - Insights,Top Products,OFFICE MUG WARMER BLACK+SILVER,3226.76,,,,OFFICE MUG WARMER BLACK+SILVER,,,,,,3226.76,1072,135,,,,,,
Week 4 - Insights,Top Products,RIBBON REEL HEARTS DESIGN,3209.79,,,,RIBBON REEL HEARTS DESIGN,,,,,,3209.79,1827,316,,,,,,
Week 4 - Insights,Top Products,POTTING SHED TEA MUG,3199.75,,,,POTTING SHED TEA MUG,,,,,,3199.75,2429,298,,,,,,
Week 4 - Insights,Top Products,GREEN CHRISTMAS TREE CARD HOLDER,3198.88,,,,GREEN CHRISTMAS TREE CARD HOLDER,,,,,,3198.88,1242,190,,,,,,
Week 4 - Insights,Top Products,BELLE JARDINIERE CUSHION COVER,3197.08,,,,BELLE JARDINIERE CUSHION COVER,,,,,,3197.08,732,206,,,,,,
Week 4 - Insights,Top Products,JAM JAR WITH PINK LID,3196.31,,,,JAM JAR WITH PINK LID,,,,,,3196.31,3788,333,,,,,,
Week 4 - Insights,Top Products,EMBOSSED GLASS TEALIGHT HOLDER,3183.5,,,,EMBOSSED GLASS TEALIGHT HOLDER,,,,,,3183.5,2474,205,,,,,,
Week 4 - Insights,Top Products,RECYCLED ACAPULCO MAT BLUE,3182.24,,,,RECYCLED ACAPULCO MAT BLUE,,,,,,3182.24,360,159,,,,,,
Week 4 - Insights,Top Products,RECYCLED ACAPULCO MAT PINK,3180.07,,,,RECYCLED ACAPULCO MAT PINK,,,,,,3180.07,355,161,,,,,,
Week 4 - Insights,Top Products,12 PENCIL SMALL TUBE WOODLAND,3179.07,,,,12 PENCIL SMALL TUBE WOODLAND,,,,,,3179.07,4449,353,,,,,,
Week 4 - Insights,Top Products,VICTORIAN  METAL POSTCARD SPRING,3178.96,,,,VICTORIAN  METAL POSTCARD SPRING,,,,,,3178.96,2853,175,,,,,,
Week 4 - Insights,Top Products,FOOD COVER WITH BEADS SET 2,3175.13,,,,FOOD COVER WITH BEADS SET 2,,,,,,3175.13,843,134,,,,,,
Week 4 - Insights,Top Products,GLASS JAR ENGLISH CONFECTIONERY,3175.12,,,,GLASS JAR ENGLISH CONFECTIONERY,,,,,,3175.12,1004,213,,,,,,
Week 4 - Insights,Top Products,WHITE WICKER STAR,3121.58,,,,WHITE WICKER STAR,,,,,,3121.58,1457,292,,,,,,
Week 4 - Insights,Top Products,HOME SWEET HOME CUSHION COVER,3117.91,,,,HOME SWEET HOME CUSHION COVER,,,,,,3117.91,777,224,,,,,,
Week 4 - Insights,Top Products,GLASS CLOCHE SMALL,3099.42,,,,GLASS CLOCHE SMALL,,,,,,3099.42,796,141,,,,,,
Week 4 - Insights,Top Products,DINOSAUR LUNCH BOX WITH CUTLERY,3096.78,,,,DINOSAUR LUNCH BOX WITH CUTLERY,,,,,,3096.78,1269,211,,,,,,
Week 4 - Insights,Top Products,BLUE POLKADOT CUP,3096.66,,,,BLUE POLKADOT CUP,,,,,,3096.66,3554,324,,,,,,
Week 4 - Insights,Top Products,SPACEBOY BEAKER,3082.34,,,,SPACEBOY BEAKER,,,,,,3082.34,2604,182,,,,,,
Week 4 - Insights,Top Products,POPPY'S PLAYHOUSE LIVINGROOM,3060.44,,,,POPPY'S PLAYHOUSE LIVINGROOM,,,,,,3060.44,1356,320,,,,,,
Week 4 - Insights,Top Products,BISCUIT TIN VINTAGE RED,3059.11,,,,BISCUIT TIN VINTAGE RED,,,,,,3059.11,463,150,,,,,,
Week 4 - Insights,Top Products,ALPHABET STENCIL CRAFT,3056.02,,,,ALPHABET STENCIL CRAFT,,,,,,3056.02,2696,185,,,,,,
Week 4 - Insights,Top Products,ROSE CARAVAN DOORSTOP,3052.14,,,,ROSE CARAVAN DOORSTOP,,,,,,3052.14,540,156,,,,,,
Week 4 - Insights,Top Products,SET/3 VANILLA SCENTED CANDLE IN BOX,3050.5,,,,SET/3 VANILLA SCENTED CANDLE IN BOX,,,,,,3050.5,694,157,,,,,,
Week 4 - Insights,Top Products,SET OF 60 VINTAGE LEAF CAKE CASES,3035.01,,,,SET OF 60 VINTAGE LEAF CAKE CASES,,,,,,3035.01,5707,366,,,,,,
Week 4 - Insights,Top Products,20 DOLLY PEGS RETROSPOT,3021.15,,,,20 DOLLY PEGS RETROSPOT,,,,,,3021.15,2279,208,,,,,,
Week 4 - Insights,Top Products,MINI WOODEN HAPPY BIRTHDAY GARLAND,3009.56,,,,MINI WOODEN HAPPY BIRTHDAY GARLAND,,,,,,3009.56,1739,219,,,,,,
Week 4 - Insights,Top Products,SET OF 6 T-LIGHTS SNOWMEN,3004.38,,,,SET OF 6 T-LIGHTS SNOWMEN,,,,,,3004.38,938,164,,,,,,
Week 4 - Insights,Top Products,HANGING METAL STAR LANTERN,3003.78,,,,HANGING METAL STAR LANTERN,,,,,,3003.78,1957,190,,,,,,
Week 4 - Insights,Top Products,SET OF 16 VINTAGE ROSE CUTLERY,2996.88,,,,SET OF 16 VINTAGE ROSE CUTLERY,,,,,,2996.88,251,95,,,,,,
Week 4 - Insights,Top Products,SWEETHEART BIRD HOUSE,2991.41,,,,SWEETHEART BIRD HOUSE,,,,,,2991.41,835,91,,,,,,
Week 4 - Insights,Top Products,CHILDREN'S SPACEBOY MUG,2988.44,,,,CHILDREN'S SPACEBOY MUG,,,,,,2988.44,1747,225,,,,,,
Week 4 - Insights,Top Products,TROPICAL  HONEYCOMB PAPER GARLAND,2987.82,,,,TROPICAL  HONEYCOMB PAPER GARLAND,,,,,,2987.82,1240,101,,,,,,
Week 4 - Insights,Top Products,ENAMEL WATERING CAN CREAM,2986.54,,,,ENAMEL WATERING CAN CREAM,,,,,,2986.54,561,187,,,,,,
Week 4 - Insights,Top Products,DECORATIVE WICKER HEART LARGE,2978.79,,,,DECORATIVE WICKER HEART LARGE,,,,,,2978.79,1731,230,,,,,,
Week 4 - Insights,Top Products,CARDHOLDER HOLLY WREATH METAL,2976.12,,,,CARDHOLDER HOLLY WREATH METAL,,,,,,2976.12,646,132,,,,,,
Week 4 - Insights,Top Products,GREEN 3 PIECE POLKADOT CUTLERY SET,2975.91,,,,GREEN 3 PIECE POLKADOT CUTLERY SET,,,,,,2975.91,814,78,,,,,,
Week 4 - Insights,Top Products,SET OF 4 KNICK KNACK TINS LEAF,2970.81,,,,SET OF 4 KNICK KNACK TINS LEAF,,,,,,2970.81,735,121,,,,,,
Week 4 - Insights,Top Products,CITRONELLA CANDLE GARDEN POT,2965.65,,,,CITRONELLA CANDLE GARDEN POT,,,,,,2965.65,1615,224,,,,,,
Week 4 - Insights,Top Products,CHRISTMAS HANGING STAR WITH BELL,2963.12,,,,CHRISTMAS HANGING STAR WITH BELL,,,,,,2963.12,5792,251,,,,,,
Week 4 - Insights,Top Products,SET OF SALT AND PEPPER TOADSTOOLS,2961.6,,,,SET OF SALT AND PEPPER TOADSTOOLS,,,,,,2961.6,2424,195,,,,,,
Week 4 - Insights,Top Products,DOLLY GIRL MINI BACKPACK,2959.19,,,,DOLLY GIRL MINI BACKPACK,,,,,,2959.19,731,159,,,,,,
Week 4 - Insights,Top Products,VINTAGE  2 METER FOLDING RULER,2954.92,,,,VINTAGE  2 METER FOLDING RULER,,,,,,2954.92,1772,175,,,,,,
Week 4 - Insights,Top Products,TREASURE TIN BUFFALO BILL,2949.75,,,,TREASURE TIN BUFFALO BILL,,,,,,2949.75,1434,208,,,,,,
Week 4 - Insights,Top Products,WOODLAND PARTY BAG + STICKER SET,2948.74,,,,WOODLAND PARTY BAG + STICKER SET,,,,,,2948.74,1824,181,,,,,,
Week 4 - Insights,Top Products,VINTAGE UNION JACK APRON,2939.51,,,,VINTAGE UNION JACK APRON,,,,,,2939.51,407,169,,,,,,
Week 4 - Insights,Top Products,SET OF 3 BLACK FLYING DUCKS,2934.81,,,,SET OF 3 BLACK FLYING DUCKS,,,,,,2934.81,577,111,,,,,,
Week 4 - Insights,Top Products,CERAMIC CHERRY CAKE MONEY BANK,2934.77,,,,CERAMIC CHERRY CAKE MONEY BANK,,,,,,2934.77,2178,273,,,,,,
Week 4 - Insights,Top Products,GLASS CLOCHE LARGE,2934.53,,,,GLASS CLOCHE LARGE,,,,,,2934.53,350,57,,,,,,
Week 4 - Insights,Top Products,DRAWER KNOB CERAMIC IVORY,2930.29,,,,DRAWER KNOB CERAMIC IVORY,,,,,,2930.29,2005,179,,,,,,
Week 4 - Insights,Top Products,S/4 CACTI CANDLES,2927.08,,,,S/4 CACTI CANDLES,,,,,,2927.08,613,157,,,,,,
Week 4 - Insights,Top Products,WRAP ENGLISH ROSE,2906.92,,,,WRAP ENGLISH ROSE,,,,,,2906.92,7026,241,,,,,,
Week 4 - Insights,Top Products,SET 10 LIGHTS NIGHT OWL,2889.07,,,,SET 10 LIGHTS NIGHT OWL,,,,,,2889.07,389,118,,,,,,
Week 4 - Insights,Top Products,12 MESSAGE CARDS WITH ENVELOPES,2888.47,,,,12 MESSAGE CARDS WITH ENVELOPES,,,,,,2888.47,1697,248,,,,,,
Week 4 - Insights,Top Products,TABLECLOTH RED APPLES DESIGN,2878.13,,,,TABLECLOTH RED APPLES DESIGN,,,,,,2878.13,290,118,,,,,,
Week 4 - Insights,Top Products,SET 12 KIDS COLOUR  CHALK STICKS,2869.61,,,,SET 12 KIDS COLOUR  CHALK STICKS,,,,,,2869.61,7007,361,,,,,,
Week 4 - Insights,Top Products,TEA TIME OVEN GLOVE,2862.55,,,,TEA TIME OVEN GLOVE,,,,,,2862.55,2128,311,,,,,,
Week 4 - Insights,Top Products,FLOWERS CHANDELIER T-LIGHT HOLDER,2860.62,,,,FLOWERS CHANDELIER T-LIGHT HOLDER,,,,,,2860.62,957,37,,,,,,
Week 4 - Insights,Top Products,RIBBON REEL LACE DESIGN,2860.21,,,,RIBBON REEL LACE DESIGN,,,,,,2860.21,1339,188,,,,,,
Week 4 - Insights,Top Products,GLITTER BUTTERFLY CLIPS,2850.38,,,,GLITTER BUTTERFLY CLIPS,,,,,,2850.38,1040,231,,,,,,
Week 4 - Insights,Top Products,DOLLY GIRL BEAKER,2841.25,,,,DOLLY GIRL BEAKER,,,,,,2841.25,2415,171,,,,,,
Week 4 - Insights,Top Products,PLAYING CARDS JUBILEE UNION JACK,2833.89,,,,PLAYING CARDS JUBILEE UNION JACK,,,,,,2833.89,1915,207,,,,,,
Week 4 - Insights,Top Products,SPACEBOY CHILDRENS BOWL,2830.35,,,,SPACEBOY CHILDRENS BOWL,,,,,,2830.35,2382,210,,,,,,
Week 4 - Insights,Top Products,EMPIRE UNION JACK TV DINNER TRAY,2824.36,,,,EMPIRE UNION JACK TV DINNER TRAY,,,,,,2824.36,877,124,,,,,,
Week 4 - Insights,Top Products,MODERN FLORAL STATIONERY SET,2820,,,,MODERN FLORAL STATIONERY SET,,,,,,2820,1632,362,,,,,,
Week 4 - Insights,Top Products,DOORMAT VINTAGE LEAVES DESIGN,2817.58,,,,DOORMAT VINTAGE LEAVES DESIGN,,,,,,2817.58,422,88,,,,,,
Week 4 - Insights,Top Products,RED ROCKING HORSE HAND PAINTED,2810.57,,,,RED ROCKING HORSE HAND PAINTED,,,,,,2810.57,2233,156,,,,,,
Week 4 - Insights,Top Products,PACK OF 60 MUSHROOM CAKE CASES,2803.9,,,,PACK OF 60 MUSHROOM CAKE CASES,,,,,,2803.9,5079,388,,,,,,
Week 4 - Insights,Top Products,GINGHAM HEART  DOORSTOP RED,2803.13,,,,GINGHAM HEART  DOORSTOP RED,,,,,,2803.13,739,230,,,,,,
Week 4 - Insights,Top Products,RED DRAWER KNOB ACRYLIC EDWARDIAN,2796.75,,,,RED DRAWER KNOB ACRYLIC EDWARDIAN,,,,,,2796.75,2194,135,,,,,,
Week 4 - Insights,Top Products,GLASS HEART T-LIGHT HOLDER,2791.53,,,,GLASS HEART T-LIGHT HOLDER,,,,,,2791.53,3177,209,,,,,,
Week 4 - Insights,Top Products,PACK OF 12 COLOURED PENCILS,2790.99,,,,PACK OF 12 COLOURED PENCILS,,,,,,2790.99,3419,211,,,,,,
Week 4 - Insights,Top Products,MINT DINER WALL CLOCK,2782.01,,,,MINT DINER WALL CLOCK,,,,,,2782.01,323,156,,,,,,
Week 4 - Insights,Top Products,DOILEY STORAGE TIN,2780.9,,,,DOILEY STORAGE TIN,,,,,,2780.9,1010,118,,,,,,
Week 4 - Insights,Top Products,COTTON APRON PANTRY DESIGN,2778.83,,,,COTTON APRON PANTRY DESIGN,,,,,,2778.83,605,157,,,,,,
Week 4 - Insights,Top Products,BLUE PARTY BAGS,2771.92,,,,BLUE PARTY BAGS,,,,,,2771.92,1456,115,,,,,,
Week 4 - Insights,Top Products,BAKING MOULD HEART MILK CHOCOLATE,2760.1,,,,BAKING MOULD HEART MILK CHOCOLATE,,,,,,2760.1,1074,185,,,,,,
Week 4 - Insights,Top Products,WRAP ALPHABET DESIGN,2750.42,,,,WRAP ALPHABET DESIGN,,,,,,2750.42,6701,222,,,,,,
Week 4 - Insights,Top Products,CHEST NATURAL WOOD 20 DRAWERS,2745,,,,CHEST NATURAL WOOD 20 DRAWERS,,,,,,2745,24,13,,,,,,
Week 4 - Insights,Top Products,STOOL HOME SWEET HOME,2735.58,,,,STOOL HOME SWEET HOME,,,,,,2735.58,227,108,,,,,,
Week 4 - Insights,Top Products,VICTORIAN SEWING KIT,2732.58,,,,VICTORIAN SEWING KIT,,,,,,2732.58,2446,136,,,,,,
Week 4 - Insights,Top Products,WHITE LOVEBIRD LANTERN,2728.66,,,,WHITE LOVEBIRD LANTERN,,,,,,2728.66,822,162,,,,,,
Week 4 - Insights,Top Products,CUPBOARD 3 DRAWER MA CAMPAGNE,2726.23,,,,CUPBOARD 3 DRAWER MA CAMPAGNE,,,,,,2726.23,167,108,,,,,,
Week 4 - Insights,Top Products,BLUE POLKADOT WRAP,2725.34,,,,BLUE POLKADOT WRAP,,,,,,2725.34,6727,210,,,,,,
Week 4 - Insights,Top Products,BUNDLE OF 3 SCHOOL EXERCISE BOOKS,2722.3,,,,BUNDLE OF 3 SCHOOL EXERCISE BOOKS,,,,,,2722.3,1678,200,,,,,,
Week 4 - Insights,Top Products,RED HEART SHAPE LOVE BUCKET,2714.63,,,,RED HEART SHAPE LOVE BUCKET,,,,,,2714.63,1365,156,,,,,,
Week 4 - Insights,Top Products,BLUE GIANT GARDEN THERMOMETER,2709.87,,,,BLUE GIANT GARDEN THERMOMETER,,,,,,2709.87,441,178,,,,,,
Week 4 - Insights,Top Products,CHRISTMAS METAL TAGS ASSORTED,2709.76,,,,CHRISTMAS METAL TAGS ASSORTED,,,,,,2709.76,2595,166,,,,,,
Week 4 - Insights,Top Products,SILVER BELLS TABLE DECORATION,2709.38,,,,SILVER BELLS TABLE DECORATION,,,,,,2709.38,2142,255,,,,,,
Week 4 - Insights,Top Products,RED RETROSPOT TEA CUP AND SAUCER,2706.17,,,,RED RETROSPOT TEA CUP AND SAUCER,,,,,,2706.17,804,156,,,,,,
Week 4 - Insights,Top Products,SWEETHEART WIRE MAGAZINE RACK,2705.4,,,,SWEETHEART WIRE MAGAZINE RACK,,,,,,2705.4,316,177,,,,,,
Week 4 - Insights,Top Products,SMALL HEART MEASURING SPOONS,2703.16,,,,SMALL HEART MEASURING SPOONS,,,,,,2703.16,2787,467,,,,,,
Week 4 - Insights,Top Products,PINK  POLKADOT CUP,2693.74,,,,PINK  POLKADOT CUP,,,,,,2693.74,3000,306,,,,,,
Week 4 - Insights,Top Products,WALL ART 70'S ALPHABET,2691.06,,,,WALL ART 70'S ALPHABET,,,,,,2691.06,348,71,,,,,,
Week 4 - Insights,Top Products,CHILDRENS DOLLY GIRL MUG,2690.09,,,,CHILDRENS DOLLY GIRL MUG,,,,,,2690.09,1574,202,,,,,,
